segment_id,start_time,end_time,duration
7298,2022-02-08 18:01:07.007555,2022-02-08 18:22:06.536672,0 days 00:20:59.529117
7321,2022-02-08 20:00:07.219697,2022-02-09 05:45:05.732356,0 days 09:44:58.512659
7405,2022-02-09 08:19:07.100699,2022-02-09 09:16:07.525308,0 days 00:57:00.424609
7406,2022-02-09 09:16:07.526614,2022-02-09 11:45:06.877457,0 days 02:28:59.350843
7410,2022-02-09 11:53:06.898968,2022-02-09 13:37:07.425417,0 days 01:44:00.526449
7412,2022-02-09 13:45:07.189199,2022-02-09 14:07:06.965581,0 days 00:21:59.776382
7414,2022-02-09 14:21:06.897008,2022-02-09 14:37:07.245016,0 days 00:16:00.348008
7418,2022-02-09 14:45:06.940090,2022-02-09 15:02:06.843825,0 days 00:16:59.903735
7420,2022-02-09 15:05:07.060686,2022-02-09 16:18:07.216625,0 days 01:13:00.155939
7422,2022-02-09 16:20:06.616503,2022-02-09 16:50:07.469169,0 days 00:30:00.852666
7424,2022-02-09 16:53:06.929758,2022-02-09 18:17:06.575118,0 days 01:23:59.645360
7426,2022-02-09 18:19:07.027974,2022-02-09 18:51:06.716196,0 days 00:31:59.688222
7430,2022-02-09 19:10:07.530169,2022-02-09 19:32:07.244799,0 days 00:21:59.714630
7437,2022-02-09 19:48:07.136304,2022-02-09 20:14:07.082855,0 days 00:25:59.946551
7438,2022-02-09 20:14:07.084603,2022-02-10 05:46:07.372160,0 days 09:32:00.287557
7443,2022-02-10 05:48:07.261556,2022-02-10 06:12:06.897601,0 days 00:23:59.636045
7492,2022-02-10 07:50:07.539219,2022-02-10 08:14:07.629868,0 days 00:24:00.090649
7499,2022-02-10 08:37:06.846542,2022-02-10 14:21:07.006012,0 days 05:44:00.159470
7504,2022-02-10 14:30:06.932928,2022-02-10 15:53:06.875192,0 days 01:22:59.942264
7510,2022-02-10 16:20:07.333981,2022-02-10 16:50:06.711310,0 days 00:29:59.377329
7566,2022-02-10 20:00:06.601905,2022-02-11 05:45:05.553752,0 days 09:44:58.951847
7576,2022-02-11 06:00:05.643596,2022-02-11 06:17:06.037899,0 days 00:17:00.394303
7641,2022-02-11 09:04:07.535634,2022-02-11 10:53:07.294355,0 days 01:48:59.758721
7649,2022-02-11 11:21:07.008260,2022-02-11 11:40:07.021800,0 days 00:19:00.013540
7718,2022-02-11 14:15:07.117100,2022-02-11 14:39:07.027420,0 days 00:23:59.910320
7839,2022-02-11 20:20:05.682959,2022-02-12 05:45:05.559138,0 days 09:24:59.876179
7965,2022-02-12 08:53:06.926575,2022-02-12 09:40:07.618622,0 days 00:47:00.692047
7969,2022-02-12 09:47:07.229491,2022-02-12 10:10:07.439968,0 days 00:23:00.210477
7971,2022-02-12 10:20:07.502616,2022-02-12 11:16:06.985045,0 days 00:55:59.482429
7974,2022-02-12 11:25:06.864908,2022-02-12 11:41:06.885183,0 days 00:16:00.020275
7976,2022-02-12 11:44:07.517458,2022-02-12 12:45:07.352273,0 days 01:00:59.834815
7978,2022-02-12 12:52:07.288912,2022-02-12 13:16:07.053005,0 days 00:23:59.764093
7984,2022-02-12 13:37:07.315018,2022-02-12 16:00:06.772077,0 days 02:22:59.457059
7986,2022-02-12 16:07:07.343921,2022-02-14 05:46:06.236544,1 days 13:38:58.892623
8103,2022-02-14 09:00:06.812469,2022-02-14 10:17:07.180912,0 days 01:17:00.368443
8107,2022-02-14 10:22:06.835780,2022-02-14 10:47:07.148720,0 days 00:25:00.312940
8109,2022-02-14 10:53:06.777122,2022-02-14 13:12:07.151963,0 days 02:19:00.374841
8110,2022-02-14 13:12:07.153178,2022-02-14 13:35:06.764458,0 days 00:22:59.611280
8121,2022-02-14 14:31:07.629477,2022-02-14 14:52:07.198415,0 days 00:20:59.568938
8123,2022-02-14 15:02:06.838999,2022-02-14 15:21:07.625422,0 days 00:19:00.786423
8127,2022-02-14 15:32:07.782849,2022-02-14 15:51:07.314689,0 days 00:18:59.531840
8198,2022-02-14 19:40:06.897753,2022-02-14 19:59:06.805773,0 days 00:18:59.908020
8204,2022-02-14 20:30:05.883298,2022-02-15 05:45:05.782011,0 days 09:14:59.898713
8263,2022-02-15 08:19:07.229722,2022-02-15 09:19:07.335972,0 days 01:00:00.106250
8325,2022-02-15 12:32:06.791163,2022-02-15 13:22:07.215787,0 days 00:50:00.424624
8327,2022-02-15 13:24:06.825053,2022-02-15 13:47:06.831686,0 days 00:23:00.006633
8332,2022-02-15 14:01:06.805972,2022-02-15 14:16:07.136951,0 days 00:15:00.330979
8350,2022-02-15 15:22:06.930780,2022-02-15 15:47:06.479797,0 days 00:24:59.549017
8419,2022-02-15 20:15:06.769261,2022-02-16 05:46:06.234751,0 days 09:30:59.465490
8423,2022-02-16 05:50:07.141448,2022-02-16 06:05:07.329789,0 days 00:15:00.188341
8528,2022-02-16 10:01:07.533873,2022-02-16 10:18:06.691368,0 days 00:16:59.157495
8530,2022-02-16 10:24:06.806430,2022-02-16 11:28:07.568464,0 days 01:04:00.762034
8536,2022-02-16 11:45:07.411055,2022-02-16 12:06:07.376964,0 days 00:20:59.965909
8550,2022-02-16 13:06:06.686943,2022-02-16 13:33:07.518595,0 days 00:27:00.831652
8560,2022-02-16 14:14:07.454482,2022-02-16 14:31:06.964186,0 days 00:16:59.509704
